Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A3347,Data Analytics Course,161,3160,229.71,17,3,1.86,1817.0,11-Jan-24,Hyderabad,Mobile,Data Anaytics Training
A1662,Data Analytics Course,111,3911,239.24,28,9,8.11,1097.0,11-Jan-24,Hyderabad,Tablet,Online Data Analytics
A2027,Data Analytics Course,147,5373,233.68,20,7,4.76,1685.0,11-Jan-24,Hyderabad,Desktop,Data Analyticss Course
A2433,Data Analytics Course,198,5860,185.25,24,9,4.55,1950.0,11-Jan-24,Hyderabad,Tablet,Data Anaytics Training
A1486,Data Analytics Course,173,5554,185.09,22,4,2.31,1000.0,11-Jan-24,Hyderabad,Desktop,Data Analyticss Course
A2338,Data Analytics Course,156,3506,242.9,13,7,4.49,1208.0,11-Jan-24,Hyderabad,Desktop,Analyticss For Data
A1346,Data Analytics Course,197,5365,208.86,14,4,2.03,1106.0,11-Jan-24,Hyderabad,Tablet,Data Anaytics Training
A1529,Data Analytics Course,98,3800,240.45,16,3,3.06,1700.0,11-Jan-24,Hyderabad,Desktop,Data Analyticss Course
A1317,Data Analytics Course,192,4225,242.0,24,6,3.12,1032.0,11-Jan-24,Hyderabad,Mobile,Data Analyticss Online
A1780,Data Analytics Course,139,5763,214.49,15,5,3.6,1781.0,11-Jan-24,Hyderabad,Desktop,Data Analyticss Online
A2934,Data Analytics Course,83,4830,184.98,12,10,12.05,1041.0,11-Jan-24,Hyderabad,Desktop,Learn Data Analyticss
A1094,Data Analytics Course,145,5004,216.45,22,5,3.45,1496.0,11-Jan-24,Hyderabad,Tablet,Data Analyticss Online
A3388,Data Analytics Course,89,3623,218.35,22,6,6.74,1311.0,11-Jan-24,Hyderabad,Mobile,Learn Data Analyticss
A2023,Data Analytics Course,138,3002,246.3,24,7,5.07,1530.0,11-Jan-24,Hyderabad,Tablet,Learn Data Analyticss
A1807,Data Analytics Course,101,5757,249.33,25,9,8.91,1129.0,11-Jan-24,Hyderabad,Mobile,Learn Data Analyticss
A3097,Data Analytics Course,109,3089,190.0,20,7,6.42,1779.0,11-Jan-24,Hyderabad,Tablet,Data Analyticss Online
A2837,Data Analytics Course,170,3526,224.34,29,4,2.35,1969.0,11-Jan-24,Hyderabad,Desktop,Analyticss For Data
A2706,Data Analytics Course,148,4558,249.74,18,8,5.41,1554.0,11-Jan-24,Hyderabad,Desktop,Data Analyticss Course
A1282,Data Analytics Course,190,4525,188.85,10,5,2.63,1875.0,11-Jan-24,Hyderabad,Tablet,Data Anaytics Training
A2536,Data Analytics Course,89,4188,206.71,16,4,4.49,1382.0,11-Jan-24,Hyderabad,Tablet,Online Data Analytics
A2840,Data Analytics Course,127,4477,199.34,20,3,2.36,1239.0,11-Jan-24,Hyderabad,Desktop,Data Analyticss Course
A2139,Data Analytics Course,155,3052,199.46,13,6,3.87,1362.0,11-Jan-24,Hyderabad,Mobile,Data Anaytics Training
A2761,Data Analytics Course,182,3458,186.51,28,9,4.95,1982.0,11-Jan-24,Hyderabad,Desktop,Learn Data Analyticss
A2900,Data Analytics Course,185,4523,192.6,23,5,2.7,1180.0,11-Jan-24,Hyderabad,Desktop,Learn Data Analyticss
A2815,Data Analytics Course,149,3865,198.54,14,4,2.68,1498.65,11-Jan-24,Hyderabad,Tablet,Data Anaytics Training
A1371,Data Analytics Course,139,3596,210.31,23,9,6.47,1269.0,11-Jan-24,Hyderabad,Tablet,Online Data Analytics
A2467,Data Analytics Course,197,3620,235.19,18,7,3.55,1740.0,11-Jan-24,Hyderabad,Mobile,Online Data Analytics
A2924,Data Analytics Course,142,4854,220.73,25,9,6.34,1891.0,11-Jan-24,Hyderabad,Desktop,Data Analyticss Online
A3353,Data Analytics Course,139,4523,200.54,30,5,3.6,1498.65,11-Jan-24,Hyderabad,Desktop,Analyticss For Data
A2041,Data Analytics Course,164,4053,245.26,28,7,4.27,1384.0,11-Jan-24,Hyderabad,Tablet,Learn Data Analyticss
A2040,Data Analytics Course,139,4485,220.3,14,6,4.32,1801.0,11-Jan-24,Hyderabad,Mobile,Data Analyticss Course
A1227,Data Analytics Course,163,5643,217.4,30,6,3.68,1678.0,11-Jan-24,Hyderabad,Desktop,Data Analyticss Online
A1542,Data Analytics Course,138,3322,196.83,17,8,5.8,1498.65,11-Jan-24,Hyderabad,Desktop,Online Data Analytics
A3143,Data Analytics Course,146,4773,248.27,30,6,4.11,1304.0,11-Jan-24,Hyderabad,Tablet,Online Data Analytics
A1139,Data Analytics Course,154,4535,229.29,11,3,1.95,1434.0,11-Jan-24,Hyderabad,Tablet,Data Anaytics Training
A1894,Data Analytics Course,111,4026,229.01,13,3,2.7,1438.0,11-Jan-24,Hyderabad,Desktop,Learn Data Analyticss
A1891,Data Analytics Course,138,4381,191.55,28,7,5.07,1756.0,11-Jan-24,Hyderabad,Tablet,Data Anaytics Training
A2866,Data Analytics Course,132,3725,196.98,16,6,4.55,1094.0,11-Jan-24,Hyderabad,Desktop,Analyticss For Data
A2303,Data Analytics Course,168,4614,241.24,28,9,5.36,1307.0,11-Jan-24,Hyderabad,Mobile,Online Data Analytics
A3415,Data Analytics Course,142,5354,247.32,17,4,2.82,1828.0,11-Jan-24,Hyderabad,Desktop,Online Data Analytics
A3289,Data Analytics Course,171,4307,220.89,20,8,4.68,1187.0,11-Jan-24,Hyderabad,Tablet,Data Analyticss Online
A2103,Data Analytics Course,139,3692,243.6,30,4,2.88,1954.0,11-Jan-24,Hyderabad,Mobile,Analyticss For Data
A1938,Data Analytics Course,198,4499,245.24,27,7,3.54,1165.0,11-Jan-24,Hyderabad,Tablet,Online Data Analytics
A3445,Data Analytics Course,141,5031,189.92,23,5,3.55,1093.0,11-Jan-24,Hyderabad,Desktop,Data Analyticss Online
